Date,In (bps),Out (bps)
2025-10-03 20:55:00,"1816756,79","24027396,73"
2025-10-03 21:00:00,"1906793,33","24700748,25"
2025-10-03 21:05:00,"2030416,36","20516878,66"
2025-10-03 21:10:00,"2293393,20","14790382,80"
2025-10-03 21:15:00,"2235132,53","17128385,62"
2025-10-03 21:20:00,"2400989,18","22579873,50"
2025-10-03 21:25:00,"2296817,27","22308972,81"
2025-10-03 21:30:00,"1371434,51","17082898,51"
2025-10-03 21:35:00,"942462,47","15839687,85"
2025-10-03 21:40:00,"1055776,49","16817748,87"
2025-10-03 21:45:00,"1298946,95","18606273,80"
2025-10-03 21:50:00,"1356299,42","19612515,55"
2025-10-03 21:55:00,"1523204,06","21932343,64"
2025-10-03 22:00:00,"1741861,99","24024231,74"
2025-10-03 22:05:00,"1547514,88","25694595,20"
2025-10-03 22:10:00,"1042894,88","23776613,84"
2025-10-03 22:15:00,"775777,45","20449845,82"
2025-10-03 22:20:00,"870987,08","22075477,39"
2025-10-03 22:25:00,"1048333,74","21554894,60"
2025-10-03 22:30:00,"1214215,91","23526722,08"
2025-10-03 22:35:00,"1281151,75","27557456,34"
2025-10-03 22:40:00,"1219679,82","27051623,62"
2025-10-03 22:45:00,"1115121,80","24953051,69"
2025-10-03 22:50:00,"1164814,36","22619984,22"
2025-10-03 22:55:00,"1185405,65","22353007,54"
2025-10-03 23:00:00,"1109373,17","25325670,31"
2025-10-03 23:05:00,"1145680,25","24487874,38"
2025-10-03 23:10:00,"1125215,61","21782069,32"
2025-10-03 23:15:00,"1132783,19","21415873,25"
2025-10-03 23:20:00,"831540,03","20125618,32"
2025-10-03 23:25:00,"449600,83","19328487,09"
2025-10-03 23:30:00,"436022,11","17665677,26"
2025-10-03 23:35:00,"743219,13","13440911,25"
2025-10-03 23:40:00,"754980,62","10563672,68"
2025-10-03 23:45:00,"579565,55","10923968,57"
2025-10-03 23:50:00,"629027,30","10432521,56"
2025-10-03 23:55:00,"537162,48","9546853,31"
2025-10-04 00:00:00,"496015,28","12808724,48"
